20:09:34 web.1  | started with pid 28351
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `block in invoke'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `catch'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `invoke'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:719:in `call!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:705:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/xss_header.rb:22:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/path_traversal.rb:16:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/json_csrf.rb:17:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/base.rb:47:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/xss_header.rb:22:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/nulllogger.rb:9:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/head.rb:9:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/showexceptions.rb:21:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/lint.rb:48:in `_call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/lint.rb:36:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/showexceptions.rb:24:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/commonlogger.rb:20:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/chunked.rb:43:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/content_length.rb:14:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/handler/webrick.rb:59:in `service'
22:57:33 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/httpserver.rb:111:in `service'
22:57:33 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/httpserver.rb:70:in `run'
22:57:33 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/server.rb:183:in `block in start_thread'
22:57:34 web.1  | 172.16.22.63 - - [26/Aug/2012 22:57:34] "GET /email/ HTTP/1.1" 404 445 0.0015
22:57:34 web.1  | 172.16.22.63 - - [26/Aug/2012 22:57:34] "GET /favicon.ico HTTP/1.1" 404 450 0.0164
22:57:34 web.1  | 172.16.22.63 - - [26/Aug/2012 22:57:34] "GET /__sinatra__/404.png HTTP/1.1" 500 113107 0.5619
22:57:34 web.1  | NoMethodError - undefined method `list' for nil:NilClass:
22:57:34 web.1  | 	/root/GDash/gdash/lib/gdash/sinatra_app.rb:128:in `block in <class:SinatraApp>'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `call'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `block in compile!'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `[]'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (3 levels) in route!'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:801:in `route_eval'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (2 levels) in route!'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:822:in `block in process_route'
22:57:34 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:820:in `catch'
